,,,,Working-age population (thousands),,,,
Australia,LFS - Labour Force Survey,Male,2022M04,10375,8310,1617.4,8757.6,"Notes

Working-age population (thousands) 
-Frequency: Monthly"
Australia,LFS - Labour Force Survey,Female,2022M04,10736.5,8388.5,1524.4,9212.1,"Notes

Working-age population (thousands) 
-Frequency: Monthly"
Australia,LFS - Labour Force Survey,Total,2022M05,21141.5,16718.8,3148.3,17993.2,"Notes

Working-age population (thousands) 
-Frequency: Monthly"
Australia,LFS - Labour Force Survey,Male,2022M05,10390.1,8320.6,1621,8769.1,"Notes

Working-age population (thousands) 
-Frequency: Monthly"
Australia,LFS - Labour Force Survey,Female,2022M05,10751.4,8398.2,1527.2,9224.2,"Notes

Working-age population (thousands) 
-Frequency: Monthly"
Australia,LFS - Labour Force Survey,Total,2022M06,21171.5,16739.2,3154.8,18016.7,"Notes

Working-age population (thousands) 
-Frequency: Monthly"
Australia,LFS - Labour Force Survey,Male,2022M06,10405.2,8331.3,1624.7,8780.5,"Notes

Working-age population (thousands) 
-Frequency: Monthly"
Australia,LFS - Labour Force Survey,Female,2022M06,10766.3,8408,1530.1,9236.2,"Notes

Working-age population (thousands) 
-Frequency: Monthly"
Australia,LFS - Labour Force Survey,Total,2022M07,21213.1,16772.2,3169.7,18043.4,"Notes

Working-age population (thousands) 
-Frequency: Monthly"
Australia,LFS - Labour Force Survey,Male,2022M07,10425.7,8347.8,1632.2,8793.5,"Notes

Working-age population (thousands) 
-Frequency: Monthly"
Australia,LFS - Labour Force Survey,Female,2022M07,10787.4,8424.4,1537.5,9249.9,"Notes

Working-age population (thousands) 
-Frequency: Monthly"
Australia,LFS - Labour Force Survey,Total,2022M08,21254.8,16805.2,3184.6,18070.2,"Notes

Working-age population (thousands) 
-Frequency: Monthly"
Australia,LFS - Labour Force Survey,Male,2022M08,10446.2,8364.4,1639.7,8806.5,"Notes

Working-age population (thousands) 
-Frequency: Monthly"
Australia,LFS - Labour Force Survey,Female,2022M08,10808.6,8440.8,1545,9263.6,"Notes

Working-age population (thousands) 
-Frequency: Monthly"
Australia,LFS - Labour Force Survey,Total,2022M09,21296.5,16838.2,3199.6,18096.9,"Notes

Working-age population (thousands) 
-Frequency: Monthly"
Australia,LFS - Labour Force Survey,Male,2022M09,10466.8,8380.9,1647.2,8819.6,"Notes

Working-age population (thousands) 
-Frequency: Monthly"
Australia,LFS - Labour Force Survey,Female,2022M09,10829.7,8457.3,1552.4,9277.3,"Notes

Working-age population (thousands) 
-Frequency: Monthly"
Australia,LFS - Labour Force Survey,Total,2022M10,21337.6,16866.1,3208.3,18129.4,"Notes

Working-age population (thousands) 
-Frequency: Monthly"
Australia,LFS - Labour Force Survey,Male,2022M10,10487.9,8395.9,1652.5,8835.4,"Notes

Working-age population (thousands) 
-Frequency: Monthly"
Australia,LFS - Labour Force Survey,Female,2022M10,10849.7,8470.3,1555.7,9294,"Notes

Working-age population (thousands) 
-Frequency: Monthly"
Australia,LFS - Labour Force Survey,Total,2022M11,21378.8,16894.1,3216.9,18161.9,"Notes

Working-age population (thousands) 
-Frequency: Monthly"
Australia,LFS - Labour Force Survey,Male,2022M11,10509.1,8410.8,1657.9,8851.2,"Notes

Working-age population (thousands) 
-Frequency: Monthly"
Australia,LFS - Labour Force Survey,Female,2022M11,10869.7,8483.3,1559.1,9310.6,"Notes

Working-age population (thousands) 
-Frequency: Monthly"
Australia,LFS - Labour Force Survey,Total,2022M12,21420,16922,3225.6,18194.3,"Notes

Working-age population (thousands) 
-Frequency: Monthly"
Australia,LFS - Labour Force Survey,Male,2022M12,10530.2,8425.7,1663.2,8867,"Notes

Working-age population (thousands) 
-Frequency: Monthly"
Australia,LFS - Labour Force Survey,Female,2022M12,10889.7,8496.3,1562.4,9327.3,"Notes

Working-age population (thousands) 
-Frequency: Monthly"
Australia,LFS - Labour Force Survey,Total,2023M01,21467.7,16957.6,3244,18223.7,"Notes

Working-age population (thousands) 
-Frequency: Monthly"
Australia,LFS - Labour Force Survey,Male,2023M01,10553.7,8443.6,1672.6,8881.1,"Notes

Working-age population (thousands) 
-Frequency: Monthly"
Australia,LFS - Labour Force Survey,Female,2023M01,10914,8514,1571.4,9342.6,"Notes

Working-age population (thousands) 
-Frequency: Monthly"
Australia,LFS - Labour Force Survey,Total,2023M02,21515.4,16993.3,3262.3,18253.1,"Notes

Working-age population (thousands) 
-Frequency: Monthly"
Australia,LFS - Labour Force Survey,Male,2023M02,10577.1,8461.5,1682,8895.1,"Notes

Working-age population (thousands) 
-Frequency: Monthly"
Australia,LFS - Labour Force Survey,Female,2023M02,10938.2,8531.8,1580.3,9357.9,"Notes

Working-age population (thousands) 
-Frequency: Monthly"
Bolivia,LFS - Encuesta Continua de Empleo,Total,2021M02,8223.4,7319.5,2175.1,6048.3,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Bolivia,LFS - Encuesta Continua de Empleo,Male,2021M02,3995.4,3561,1107.8,2887.6,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Bolivia,LFS - Encuesta Continua de Empleo,Female,2021M02,4228,3758.5,1067.3,3160.7,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Bolivia,LFS - Encuesta Continua de Empleo,Total,2021M03,8226.6,7358.7,2099.8,6126.8,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Bolivia,LFS - Encuesta Continua de Empleo,Male,2021M03,4014.8,3605.2,1055.7,2959.1,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Bolivia,LFS - Encuesta Continua de Empleo,Female,2021M03,4211.8,3753.6,1044.1,3167.7,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Bolivia,LFS - Encuesta Continua de Empleo,Total,2021M04,8225,7378.7,2184.3,6040.7,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Bolivia,LFS - Encuesta Continua de Empleo,Male,2021M04,3981.3,3585.6,1079,2902.3,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Bolivia,LFS - Encuesta Continua de Empleo,Female,2021M04,4243.7,3793.1,1105.3,3138.4,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Bolivia,LFS - Encuesta Continua de Empleo,Total,2021M05,8074.5,7234.7,2011.4,6063.2,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Bolivia,LFS - Encuesta Continua de Empleo,Male,2021M05,3922.1,3528.4,1012,2910.1,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Bolivia,LFS - Encuesta Continua de Empleo,Female,2021M05,4152.4,3706.3,999.3,3153.1,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Bolivia,LFS - Encuesta Continua de Empleo,Total,2021M06,8309.2,7408.9,2174.1,6135.1,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Bolivia,LFS - Encuesta Continua de Empleo,Male,2021M06,4028.1,3593.3,1058.6,2969.6,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Bolivia,LFS - Encuesta Continua de Empleo,Female,2021M06,4281.1,3815.5,1115.5,3165.6,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Bolivia,LFS - Encuesta Continua de Empleo,Total,2021M07,8314.9,7431.1,2173,6141.9,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Bolivia,LFS - Encuesta Continua de Empleo,Male,2021M07,4032.2,3636.5,1085.1,2947.1,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Bolivia,LFS - Encuesta Continua de Empleo,Female,2021M07,4282.7,3794.6,1087.9,3194.8,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Bolivia,LFS - Encuesta Continua de Empleo,Total,2021M08,8273.5,7438.1,2135.4,6138.2,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Bolivia,LFS - Encuesta Continua de Empleo,Male,2021M08,3990,3625.8,1063.6,2926.4,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Bolivia,LFS - Encuesta Continua de Empleo,Female,2021M08,4283.6,3812.3,1071.8,3211.8,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Bolivia,LFS - Encuesta Continua de Empleo,Total,2021M09,8204.6,7335.7,2105.1,6099.5,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Bolivia,LFS - Encuesta Continua de Empleo,Male,2021M09,3992.8,3572.7,1044.9,2948,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Bolivia,LFS - Encuesta Continua de Empleo,Female,2021M09,4211.8,3763,1060.2,3151.6,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Bolivia,LFS - Encuesta Continua de Empleo,Total,2021M10,8348.2,7410.2,2096.5,6251.7,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Bolivia,LFS - Encuesta Continua de Empleo,Male,2021M10,4055.8,3619.2,1038.1,3017.7,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Bolivia,LFS - Encuesta Continua de Empleo,Female,2021M10,4292.4,3791,1058.4,3234,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Bolivia,LFS - Encuesta Continua de Empleo,Total,2021M11,8396.2,7484.3,2094.4,6301.8,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Bolivia,LFS - Encuesta Continua de Empleo,Male,2021M11,4042.6,3620,1043.4,2999.1,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Bolivia,LFS - Encuesta Continua de Empleo,Female,2021M11,4353.7,3864.3,1051,3302.7,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
